tag,release_datetime
a68ce0f,2024-03-19T15:16:10
a68ce0f,2024-03-19T15:44:52
v1.0.0-beta,2024-03-19T15:47:15
862c11b,2024-03-22T11:14:32
b40beaf,2024-04-17T09:29:13
5bac4a8,2024-04-17T12:08:37
v1.1.0-beta,2024-04-18T14:55:27
fe59672,2024-04-19T16:24:11
v1.1.1-beta,2024-04-23T09:49:09
25e9744,2024-04-26T09:24:05
6dc40ab,2024-04-29T14:41:11
d82db54,2024-04-30T13:01:05
v1.1.2-beta,2024-04-30T14:29:25
7d15d3d,2024-05-01T13:49:19
d0f40cc,2024-05-03T08:23:57
v1.1.3-beta,2024-05-07T15:18:17
v1.1.4-beta,2024-05-14T08:53:12
v1.1.5-beta,2024-05-17T09:25:07
v1.1.6-beta,2024-05-21T09:21:23
v1.1.7-beta,2024-05-23T09:08:10
f7a05c0,2024-05-28T10:05:45
v1.1.8-beta,2024-06-04T13:17:01
993d024,2024-06-05T12:21:36
5219031,2024-06-06T13:14:30
v1.2.0-beta,2024-06-06T14:31:04
v1.2.1-beta,2024-06-11T15:48:43
3586f8e,2024-06-12T12:21:29
v1.2.2-beta,2024-06-13T09:07:25
e649da2,2024-06-17T08:49:17
4550e83,2024-06-20T12:41:56
v1.2.3-beta,2024-06-20T13:04:42
dc51d48,2024-06-24T11:25:57
3632799,2024-06-25T11:21:08
3ba5c59,2024-06-26T12:08:21
242cf98,2024-06-26T14:44:03
458e291,2024-06-26T14:51:41
v1.2.4-beta,2024-06-27T09:09:58
v1.2.5-beta,2024-07-04T12:09:13
v1.2.6-beta,2024-07-11T10:59:06
3dd021f,2024-07-11T13:03:48
7e04e7f,2024-07-12T08:57:24
bf6f0f3,2024-07-12T13:58:24
d8c3409,2024-07-12T14:08:51
f01dbac,2024-07-12T14:41:08
362c329,2024-07-12T14:50:30
7433daf,2024-07-12T14:59:13
150d942,2024-07-12T15:08:03
c3b0e32,2024-07-12T15:16:08
f272d6f,2024-07-12T15:29:39
b0a10b9,2024-07-12T16:01:10
8f9ac38,2024-07-16T12:14:07
8b6e8c4,2024-07-17T13:43:27
v1.3.0-beta,2024-07-18T09:13:46
c7970aa,2024-07-18T14:33:30
v1.3.1-beta,2024-07-19T15:21:18
v1.3.2-beta,2024-07-25T09:02:39
db11b3b,2024-07-29T13:40:05
881a8a5,2024-07-30T11:01:39
6229b64,2024-07-30T11:09:42
b18602d,2024-07-31T09:56:22
8d10587,2024-07-31T13:33:07
1ff86a2,2024-08-01T09:31:53
v1.3.3-beta,2024-08-01T10:04:47
v1.3.4-beta,2024-08-08T09:32:13
3bc3fbb,2024-08-12T09:30:32
4dfb8ef,2024-08-12T10:38:37
462d8b1,2024-08-15T10:42:57
v1.3.5-beta,2024-08-15T11:06:50
d17d9f99,2024-08-19T14:40:24
v1.4.0-beta,2024-08-21T10:45:27
004478c1,2024-08-27T14:41:26
v1.4.1-beta,2024-08-29T09:24:56
v1.4.2-beta,2024-09-06T10:42:15
53511ba1,2024-09-10T09:38:59
v1.4.3-beta,2024-09-12T10:35:44
d5d19dd4,2024-09-16T14:08:28
38ac27a1,2024-09-17T09:13:39
